filename,path,label,mean_intensity,std_dev,variance,skewness,kurtosis,range_intensity,min_intensity,max_intensity,entropy_shannon,entropy_local,edge_density,edge_magnitude_mean,edge_magnitude_std,edge_orientation_std,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,haralick_asm,lbp_uniform_mean,lbp_variance,lbp_entropy,fractal_dim_higuchi,fractal_dim_katz,fractal_dim_dfa,fractal_dim_boxcount,lacunarity,wavelet_energy_approx,wavelet_energy_horizontal,wavelet_energy_vertical,wavelet_energy_diagonal,wavelet_entropy,tamura_coarseness,tamura_contrast,tamura_directionality,area_coverage,circularity,solidity,perimeter_complexity,fractal_equation,fractal_hurst_exponent,fractal_amplitude_scaling,fractal_goodness_of_fit,fractal_fitting_success,fractal_overlay_path
puffer_polyester_20250824_191454.jpg,capture/images/puffer_polyester/puffer_polyester_20250824_191454.jpg,puffer_polyester,71.249603,26.355873,694.632065,1.544245,2.375041,180,30,210,6.390958,6.390958,0.365067,0.146999,0.081993,1.95813,2085.404355,32.974332,0.043903,0.015999,-0.017091,0.000258,0.094867,8.46336,3.272438,2.089982,6.044705,0.473065,1.949349,1.011172,0.925327,0.010827,0.058941,0.004906,15.091029,278.07352,0.369909,1.958048,0.19664,0.019878,0.643433,25.143229,"fBm(H=0.900, σ=1.000)",0.9,0.999991,0.667224,1.0,fractal_overlays/puffer_polyester_20250824_191454_fractal_overlay_20250824_191655.png
puffer_polyester_20250824_191459.jpg,capture/images/puffer_polyester/puffer_polyester_20250824_191459.jpg,puffer_polyester,73.020111,26.427753,698.42614,1.518831,2.298932,180,32,212,6.408027,6.408027,0.367722,0.14738,0.081597,1.953631,2062.323656,32.832341,0.043824,0.015732,-0.01811,0.000249,0.094755,8.499319,3.271248,2.087361,6.06975,0.479227,1.949949,1.010384,0.92801,0.010667,0.056455,0.004868,15.086091,278.12802,0.361924,1.953034,0.182037,0.017321,0.656758,26.935007,"fBm(H=0.900, σ=1.000)",0.9,1.000019,0.672799,1.0,fractal_overlays/puffer_polyester_20250824_191459_fractal_overlay_20250824_191731.png
puffer_polyester_20250824_191504.jpg,capture/images/puffer_polyester/puffer_polyester_20250824_191504.jpg,puffer_polyester,73.282288,26.515081,703.049525,1.50875,2.21783,169,33,202,6.407062,6.407061,0.367218,0.146501,0.081338,1.954824,2246.811079,34.226131,0.04222,0.015825,-0.002175,0.000252,0.094694,8.514778,3.271955,2.086925,6.203948,0.478377,1.94918,1.012062,0.929164,0.010428,0.055538,0.00487,15.08091,286.64822,0.361821,1.954773,0.200317,0.01292,0.634126,31.187197,"fBm(H=0.900, σ=1.000)",0.9,0.999993,0.6595,1.0,fractal_overlays/puffer_polyester_20250824_191504_fractal_overlay_20250824_191809.png
windbreaker_polyester_20250824_192056.jpg,capture/images/windbreaker_polyester/windbreaker_polyester_20250824_192056.jpg,windbreaker_polyester,73.199631,30.348313,921.02013,0.29938,-0.506897,175,15,190,6.886109,6.886109,0.197403,0.154884,0.084023,2.012721,4012.694409,51.404794,0.019451,0.0103,-0.206873,0.000107,0.088309,10.539952,3.073782,2.071035,11.066813,0.287732,1.982286,1.005111,0.877164,0.012915,0.10439,0.00553,15.230132,307.82837,0.414597,2.014687,0.358238,0.014836,0.791234,29.103869,"fBm(H=0.900, σ=1.000)",0.9,0.999992,0.698305,1.0,fractal_overlays/windbreaker_polyester_20250824_192056_fractal_overlay_20250824_192152.png
windbreaker_polyester_20250824_192101.jpg,capture/images/windbreaker_polyester/windbreaker_polyester_20250824_192101.jpg,windbreaker_polyester,72.727951,30.257877,915.539103,0.331871,-0.466244,174,13,187,6.880915,6.880914,0.197968,0.154289,0.084562,2.01263,4138.995876,52.153474,0.01956,0.010398,-0.213294,0.000109,0.088238,10.558456,3.075513,2.071921,12.615795,0.28342,1.982614,1.004566,0.875445,0.012808,0.106182,0.005565,15.231045,302.97293,0.416042,2.012837,0.40213,0.008478,0.747992,38.500112,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.704149,1.0,fractal_overlays/windbreaker_polyester_20250824_192101_fractal_overlay_20250824_192229.png
windbreaker_polyester_20250824_192106.jpg,capture/images/windbreaker_polyester/windbreaker_polyester_20250824_192106.jpg,windbreaker_polyester,74.730957,30.39705,923.980625,0.337553,-0.418088,181,15,196,6.892871,6.89287,0.201248,0.155316,0.085893,2.011048,3823.840134,50.022456,0.02021,0.010397,-0.219897,0.000109,0.088538,10.516901,3.078384,2.071183,10.18408,0.281225,1.982919,1.003648,0.87952,0.012247,0.103031,0.005202,15.216077,303.1906,0.406753,2.012165,0.734093,0.00367,0.740192,58.519251,"fBm(H=0.900, σ=1.000)",0.9,0.999994,0.693436,1.0,fractal_overlays/windbreaker_polyester_20250824_192106_fractal_overlay_20250824_192305.png
windbreaker_polyester_20250824_192111.jpg,capture/images/windbreaker_polyester/windbreaker_polyester_20250824_192111.jpg,windbreaker_polyester,68.868393,29.730524,883.904051,0.440367,-0.330571,178,11,189,6.847625,6.847624,0.194153,0.15174,0.083797,1.998051,3934.410892,50.696015,0.020032,0.01066,-0.220396,0.000114,0.088038,10.589508,3.066595,2.073058,11.673803,0.290695,1.982,1.003336,0.86667,0.014452,0.112643,0.006235,15.251729,287.3195,0.431701,1.998746,0.780907,0.005719,0.78754,46.874421,"fBm(H=0.900, σ=1.000)",0.9,0.999994,0.692989,1.0,fractal_overlays/windbreaker_polyester_20250824_192111_fractal_overlay_20250824_192341.png
windbreaker_polyester_20250824_192116.jpg,capture/images/windbreaker_polyester/windbreaker_polyester_20250824_192116.jpg,windbreaker_polyester,73.37146,30.223886,913.483264,0.345972,-0.405933,180,13,193,6.881788,6.881787,0.196625,0.154276,0.085058,2.010773,3879.471793,50.39606,0.019581,0.010423,-0.213782,0.000109,0.088521,10.527055,3.074921,2.071054,11.761366,0.284801,1.981947,1.00426,0.877753,0.012898,0.103953,0.005396,15.224655,302.04196,0.41193,2.010795,0.39444,0.018741,0.818712,25.894569,"fBm(H=0.900, σ=1.000)",0.9,1.000006,0.711835,1.0,fractal_overlays/windbreaker_polyester_20250824_192116_fractal_overlay_20250824_192417.png
towel_cotton_20250824_192625.jpg,capture/images/towel_cotton/towel_cotton_20250824_192625.jpg,towel_cotton,128.591141,16.797618,282.159967,-0.006717,-0.187165,146,45,191,6.113386,6.113386,0.201309,0.050788,0.03169,1.955883,219.350004,11.005189,0.107683,0.022937,0.781011,0.000536,0.099411,6.261881,3.186197,1.595208,4.714452,1.389712,1.905897,1.003332,0.999053,0.000197,0.000628,0.000122,14.308101,222.70853,0.130628,1.957053,0.187897,0.027627,0.537976,21.327322,"fBm(H=0.900, σ=1.000)",0.9,1.000001,0.966262,1.0,fractal_overlays/towel_cotton_20250824_192625_fractal_overlay_20250824_192721.png
towel_cotton_20250824_192630.jpg,capture/images/towel_cotton/towel_cotton_20250824_192630.jpg,towel_cotton,129.218521,16.772932,281.331262,-0.017054,-0.215844,148,44,192,6.111104,6.111104,0.201935,0.050886,0.031663,1.956311,217.136633,10.958894,0.107047,0.022895,0.780013,0.000534,0.099296,6.285416,3.186872,1.594509,4.690407,1.390383,1.904014,1.003326,0.999063,0.000194,0.000623,0.00012,14.307466,221.77873,0.129803,1.95637,0.159851,0.017071,0.471319,27.131704,"fBm(H=0.900, σ=1.000)",0.9,0.999995,0.982092,1.0,fractal_overlays/towel_cotton_20250824_192630_fractal_overlay_20250824_192758.png
towel_cotton_20250824_192635.jpg,capture/images/towel_cotton/towel_cotton_20250824_192635.jpg,towel_cotton,128.982895,16.894395,285.420591,-0.000737,-0.197111,143,47,190,6.121477,6.121477,0.203156,0.051005,0.031778,1.954934,223.744842,11.117029,0.106439,0.022808,0.782019,0.00053,0.099389,6.250895,3.183121,1.594817,4.774651,1.390012,1.908863,1.0034,0.999054,0.000195,0.000628,0.000122,14.307275,225.53497,0.130982,1.95561,0.202705,0.023328,0.579199,23.209532,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.969939,1.0,fractal_overlays/towel_cotton_20250824_192635_fractal_overlay_20250824_192834.png
towel_cotton_20250824_192640.jpg,capture/images/towel_cotton/towel_cotton_20250824_192640.jpg,towel_cotton,129.297867,16.912509,286.032964,0.000925,-0.213091,146,45,191,6.123221,6.123222,0.203049,0.050964,0.031712,1.955029,220.441139,11.043354,0.106329,0.022752,0.782914,0.000527,0.099353,6.270646,3.187109,1.594476,4.642739,1.389504,1.903549,1.003488,0.999058,0.000196,0.000625,0.000121,14.308463,226.28912,0.130803,1.955104,0.198227,0.015813,0.557925,28.190216,"fBm(H=0.900, σ=1.000)",0.9,0.999994,0.982745,1.0,fractal_overlays/towel_cotton_20250824_192640_fractal_overlay_20250824_192911.png
towel_cotton_20250824_192645.jpg,capture/images/towel_cotton/towel_cotton_20250824_192645.jpg,towel_cotton,127.794235,16.822494,282.996311,0.008961,-0.194598,142,46,188,6.115955,6.115955,0.201279,0.050778,0.031598,1.953771,226.76688,11.197686,0.105653,0.02289,0.782126,0.000534,0.099397,6.259964,3.184829,1.594466,4.712823,1.390601,1.908362,1.003455,0.999044,0.000197,0.000635,0.000124,14.308984,223.65523,0.131637,1.954684,0.22776,0.016896,0.628325,27.271563,"fBm(H=0.900, σ=1.000)",0.9,1.000003,0.975609,1.0,fractal_overlays/towel_cotton_20250824_192645_fractal_overlay_20250824_192947.png
fleece_20250824_193503.jpg,capture/images/fleece/fleece_20250824_193503.jpg,fleece,43.17952,26.076365,679.976791,1.536813,3.15628,223,2,225,6.435532,6.435532,0.331619,0.114135,0.073192,1.844361,1404.088613,27.081365,0.049009,0.015371,0.197139,0.000237,0.087977,10.521979,3.177268,1.955039,6.294029,0.794157,1.954232,1.031792,0.868392,0.036621,0.065446,0.029542,15.284779,307.7602,0.603906,1.844887,0.20298,0.028093,0.729004,21.149803,"fBm(H=0.324, σ=1.000)",0.323636,1.0,0.988168,1.0,fractal_overlays/fleece_20250824_193503_fractal_overlay_20250824_193600.png
fleece_20250824_193508.jpg,capture/images/fleece/fleece_20250824_193508.jpg,fleece,47.285339,25.841422,667.779116,1.384475,2.666051,232,3,235,6.490366,6.490366,0.333191,0.115414,0.072593,1.851382,1248.397298,25.781819,0.048468,0.014494,0.20749,0.00021,0.088765,10.296184,3.204739,1.94487,5.757519,0.814014,1.956455,1.023026,0.891835,0.029767,0.055226,0.023173,15.235148,304.03806,0.5465,1.851252,0.192314,0.007571,0.52326,40.740183,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.975514,1.0,fractal_overlays/fleece_20250824_193508_fractal_overlay_20250824_193637.png
fleece_20250824_193513.jpg,capture/images/fleece/fleece_20250824_193513.jpg,fleece,44.383911,26.015288,676.795209,1.46477,2.958383,231,3,234,6.46495,6.46495,0.336166,0.115053,0.073354,1.847766,1285.06111,26.004486,0.049655,0.014913,0.202098,0.000223,0.088459,10.393907,3.192678,1.950914,6.034415,0.801192,1.95603,1.028614,0.876813,0.034157,0.062314,0.026716,15.265897,307.1801,0.586142,1.849076,0.182419,0.009848,0.547653,35.722228,"fBm(H=0.900, σ=1.000)",0.9,0.999995,0.985893,1.0,fractal_overlays/fleece_20250824_193513_fractal_overlay_20250824_193714.png
fleece_20250824_193518.jpg,capture/images/fleece/fleece_20250824_193518.jpg,fleece,43.274673,25.973005,674.596994,1.52392,3.168454,228,2,230,6.441962,6.441963,0.332657,0.113764,0.073186,1.845594,1328.157329,26.347335,0.04959,0.015258,0.200223,0.000233,0.088133,10.470746,3.182693,1.953844,6.219688,0.796913,1.95537,1.031346,0.870466,0.036252,0.064484,0.028799,15.281245,306.1436,0.60019,1.845558,0.173729,0.015819,0.540969,28.184416,"fBm(H=0.699, σ=1.000)",0.699485,1.000001,0.986177,1.0,fractal_overlays/fleece_20250824_193518_fractal_overlay_20250824_193751.png
